ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1649150,Bengkulu,-3.8004,102.2655,28.52,75,61,4.6,ID,1660028154
5418104,Cortez,37.3489,-108.5859,17.74,76,38,2.63,US,1660028156
962367,Richards Bay,-28.783,32.0377,20.22,75,71,4.86,ZA,1660028157
779622,Havøysund,70.9963,24.6622,12.13,68,100,5.19,NO,1660028160
1805833,Jiexiu,37.0244,111.9125,21.54,92,100,4.32,CN,1660028161
1489962,Tavda,58.0425,65.2726,26.87,46,8,1.94,RU,1660028163
2527087,Tiznit Province,29.5833,-9.5,17.43,85,41,1.03,MA,1660028164
5970873,Hare Bay,48.8499,-54.0148,11.64,81,100,1.85,CA,1660028166
1525798,Balkhash,46.844,74.9804,27.34,47,20,5.0,KZ,1660028167
3397967,Itaituba,-4.2761,-55.9836,22.86,80,29,0.63,BR,1660028169
2021618,Krasnokamensk,50.0979,118.0369,22.64,33,9,10.48,RU,1660028170
5699404,Scottsbluff,41.8666,-103.6672,23.77,60,0,2.97,US,1660028172
2158767,Mareeba,-17.0,145.4333,21.91,67,12,3.32,AU,1660028173
5711149,Altamont,42.2068,-121.7372,14.97,65,84,1.51,US,1660028175
934649,Cap Malheureux,-19.9842,57.6142,24.15,63,0,3.58,MU,1660028177
3412093,Vestmannaeyjar,63.4427,-20.2734,12.13,98,100,10.28,IS,1660028179
778707,Mehamn,71.0357,27.8492,13.97,62,0,5.14,NO,1660028180
1282256,Hithadhoo,-0.6,73.0833,27.64,66,100,0.47,MV,1660028182
3421982,Maniitsoq,65.4167,-52.9,4.68,94,100,2.68,GL,1660028183
1797535,Qiongshan,20.0058,110.3542,28.99,74,20,6.0,CN,1660028184
2171099,Codrington,-38.2667,141.9667,12.22,67,25,3.02,AU,1660028186
213940,Kasongo,-4.45,26.6667,29.64,25,2,1.38,CD,1660028187
5855927,Hilo,19.7297,-155.09,26.82,89,75,0.89,US,1660027943
4790207,Tuckahoe,37.5901,-77.5564,26.71,83,58,2.68,US,1660028193
2173911,Broken Hill,-31.95,141.4333,15.46,34,1,3.19,AU,1660028152
4004293,Ixtapa,20.7,-105.2,26.24,84,100,1.54,MX,1660028196
5870133,Nome,64.5011,-165.4064,9.53,85,100,3.41,US,1660028081
1253132,Vīrarājendrapet,12.2,75.8,21.57,85,88,4.41,IN,1660028198
2315417,Inongo,-1.95,18.2667,23.06,60,5,0.84,CD,1660028200
935214,Saint-Pierre,-21.3393,55.4781,24.39,66,75,9.77,RE,1660028201
1853483,Oyama,36.3,139.8,35.88,39,100,3.73,JP,1660028203
2147714,Sydney,-33.8679,151.2073,14.38,72,40,10.29,AU,1660028196
2944354,Bremervörde,53.4833,9.1333,16.82,65,11,2.33,DE,1660028205
2023943,Gorin,51.1983,136.6669,23.63,45,100,4.15,RU,1660028207
2236967,Soyo,-6.1349,12.3689,21.45,83,21,2.17,AO,1660028208
216404,Gbadolite,4.2833,21.0167,24.9,85,17,0.2,CD,1660028211
5880054,Barrow,71.2906,-156.7887,2.8,89,100,3.16,US,1660028212
3899695,Ancud,-41.8697,-73.8203,7.35,86,100,1.78,CL,1660028213
3175096,Laas,46.6166,10.7002,18.72,52,0,0.99,IT,1660028215
3691582,Talara,-4.5772,-81.2719,17.31,84,33,5.75,PE,1660028216
5478673,Meadow Lake,34.8014,-106.5436,23.51,56,80,2.4,US,1660028217
4671141,Aransas Pass,27.9095,-97.15,29.45,83,0,3.6,US,1660028219
300796,Miepherkeim,38.1419,41.0081,31.16,20,0,2.45,TR,1660028220
3374210,São Filipe,14.8961,-24.4956,25.73,81,97,1.95,CV,1660028221
1106677,Bambous Virieux,-20.3428,57.7575,24.14,69,40,6.17,MU,1660028109
3369157,Cape Town,-33.9258,18.4232,15.21,86,15,1.03,ZA,1660028082
5373121,Mill Valley,37.906,-122.545,18.14,88,4,1.79,US,1660028226
729909,Krivodol,43.3744,23.4844,27.15,41,30,1.53,BG,1660028228
2212775,Sabha,27.0377,14.4283,30.8,21,0,5.59,LY,1660028229
3146487,Raudeberg,61.9875,5.1352,13.86,60,100,8.36,NO,1660028232
1640972,Katobu,-4.9408,122.5276,29.99,57,53,3.96,ID,1660028233
921786,Mitsamiouli,-11.3847,43.2844,26.16,61,40,2.57,KM,1660028234
3372745,Rabo de Peixe,37.8,-25.5833,19.73,94,40,0.51,PT,1660028236
3131824,Vigrestad,58.5667,5.7,16.09,81,99,3.46,NO,1660028237
535839,Leshukonskoye,64.8989,45.7622,17.42,52,87,1.73,RU,1660028239
3377301,Mabaruma,8.2,-59.7833,22.68,96,95,0.98,GY,1660028240
2023324,Kadaya,50.9327,119.2911,21.89,34,12,8.91,RU,1660028241
5969025,Haines Junction,60.7522,-137.5108,8.97,76,100,0.51,CA,1660028243
3359638,Walvis Bay,-22.9575,14.5053,10.61,100,100,2.06,NA,1660028244
57000,Hobyo,5.3505,48.5268,28.3,60,32,10.79,SO,1660028246
2278158,Buchanan,5.8808,-10.0467,23.98,86,100,3.62,LR,1660028247
2381334,Atar,20.5169,-13.0499,29.13,51,2,2.54,MR,1660028248
3652764,Puerto Ayora,-0.7393,-90.3518,20.86,87,95,3.13,EC,1660028250
2172880,Byron Bay,-28.65,153.6167,16.08,66,0,5.48,AU,1660028246
6355222,Yulara,-25.2406,130.9889,27.08,22,7,8.01,AU,1660028193
1529484,Kumul,42.8,93.45,39.02,11,0,2.33,CN,1660028253
2012349,Krasnyy Chikoy,50.3643,108.7512,24.71,29,12,4.48,RU,1660028255
1505991,Igarka,67.4667,86.5833,27.39,45,11,5.47,RU,1660028256
2018735,Nyurba,63.2842,118.3319,20.89,57,100,3.48,RU,1660028258
2122389,Ossora,59.2353,163.0719,16.38,82,17,3.2,RU,1660028259
2088659,Panguna,-6.3164,155.4848,22.94,88,100,0.93,PG,1660028260
5274867,Sturgeon Bay,44.8342,-87.377,14.22,75,0,3.34,US,1660028262
3571913,Marsh Harbour,26.5412,-77.0636,28.46,77,15,5.74,BS,1660028263
6533368,Moranbah,-22.0016,148.0466,19.07,33,0,6.27,AU,1660028265
